Wall time,Step,Value
1715425845.2383196,2893,-127.75526428222656
1715425845.2552993,2895,-134.28712463378906
1715425845.3054621,2903,-134.01475524902344
1715425880.0605385,2911,-106.96719360351562
1715425880.0865343,2915,-109.72572326660156
1715425880.107425,2918,-122.10652160644531
1715425880.1172125,2920,-122.06525421142578
1715425880.122063,2921,-123.24185943603516
1715425880.1412327,2924,-126.12869262695312
1715425880.181876,2930,-137.6988983154297
1715425880.2059202,2934,-136.08172607421875
1715425880.2120059,2935,-137.58309936523438
1715425925.0207503,2949,-164.44589233398438
1715425925.0819118,2952,-170.55645751953125
1715425925.165125,2955,-165.97265625
1715425925.323128,2962,-160.85508728027344
1715425925.3723564,2965,-159.1669464111328
1715425925.407808,2967,-159.52996826171875
1715425925.536883,2973,-157.27987670898438
1715425949.668139,2978,-119.20291900634766
1715425949.7035553,2984,-130.13209533691406
1715425949.7186778,2986,-129.40975952148438
1715425949.7839756,2996,-130.681884765625
1715425949.8045743,2999,-130.43959045410156
1715425949.8264847,3002,-128.8521728515625
1715425989.52531,3010,-141.85592651367188
1715425989.5804417,3019,-235.59042358398438
1715425989.6548138,3029,-247.84814453125
1715425989.6862125,3034,-235.88778686523438
1715426027.2973025,3047,-135.08444213867188
1715426027.4116304,3066,-133.68443298339844
1715426027.4298642,3069,-130.36744689941406
1715426070.9008687,3083,-125.28214263916016
1715426070.9070363,3084,-119.80887603759766
1715426070.9498973,3090,-119.40522766113281
1715426070.9935281,3096,-116.93172454833984
1715426071.0445645,3103,-115.75911712646484
1715426071.0533862,3104,-116.2900161743164
1715426071.0616503,3105,-116.11588287353516
1715426071.0762138,3107,-116.53584289550781
1715426071.1001835,3111,-114.83341979980469
1715426095.0828698,3115,-163.60952758789062
1715426095.111169,3119,-145.49887084960938
1715426095.1169755,3120,-144.7591552734375
1715426095.123468,3121,-124.71660614013672
1715426095.1561944,3126,-133.9901885986328
1715426095.1707335,3128,-129.7225341796875
1715426095.2400944,3138,-133.7022247314453
1715426095.2878773,3145,-135.1112060546875
1715426128.8315806,3173,-139.3177947998047
1715426128.8607554,3178,-132.5452423095703
1715426161.2813487,3187,-68.89569854736328
1715426161.2995732,3190,-105.99913787841797
1715426161.3139536,3192,-113.50458526611328
1715426161.3611348,3199,-123.45703887939453
1715426161.399127,3204,-129.50877380371094
1715426161.4561327,3212,-131.57821655273438
1715426161.4821885,3216,-131.47207641601562
1715426161.4878945,3217,-131.08949279785156
1715426199.495953,3220,-144.98611450195312
1715426199.5086455,3222,-137.51812744140625
1715426199.5538094,3229,-123.21819305419922
1715426199.6135297,3237,-124.26217651367188
1715426199.6442537,3241,-128.34767150878906
1715426199.6573322,3243,-123.26829528808594
1715426233.0573807,3265,-472.87054443359375
1715426233.0773294,3268,-491.9033203125
1715426267.8929243,3298,-148.69937133789062
1715426267.9410598,3306,-139.63722229003906
1715426303.5561755,3340,-127.69056701660156
1715426303.5819662,3345,-123.96170043945312
1715426303.6443202,3356,-130.0596923828125
1715426340.3510084,3365,-337.92578125
1715426340.4544358,3370,-355.94073486328125
